variable_code,variable_name,unit,range_check_minimum,range_check_maximum
abs250,UV Absorbance at 250nm,unitless,NA,NA
abs254,UV Absorbance at 254nm,unitless,NA,NA
abs280,UV Absorbance at 280nm,unitless,NA,NA
acidity,Acidity,ueq/L,0,1000000
Ag,Silver,mg/L,0,1000000
Al,Aluminum,mg/L,0,10
Al_ICP,Aluminum ICP,mg/L,0,10
alk,Alkalinity,mg/L,0,100000
ANC,Acid Neutralizing Capacity,eq/L,NA,NA
ANC960,Acid Neutralizing Capacity 960,ueq/L,NA,NA
AnCaR,Anion-Cation Ratio,unitless,NA,NA
ANCMet,Acid Neutralizing Capacity Met,ueq/L,NA,NA
anionCharge,TOTAL Anion Charge,ueq/L,NA,NA
As,Arsenic,mg/L,0,1000000
Au,Gold,mg/L,0,1000000
B,Boron,mg/L,0,1000000
Ba,Barium,mg/L,0,1000000
Be,Beryllium,mg/L,0,1000000
Bi,Bismuth,mg/L,0,1000000
BPC,Benthic Particulate Carbon,mg/cm2,0,NA
BPN,Benthic Particulate Nitrogen,mg/cm2,0,NA
BPP,Benthic Particulate Phosphorus,mg/cm2,0,NA
Br,Bromide,mg/L,0,1000000
Ca,Calcium,mg/L,0,1000
cationCharge,TOTAL Cation Charge,ueq/L,NA,NA
Cd,Cadmium,mg/L,0,1000000
Cd111,Cadmium-111,mg/L,0,1000000
Ce,Cerium,mg/L,0,1000000
CH4,Methane,ppm,0,10000
CH4_C,Methane-C,mg/L,NA,NA
CHL,Chlorophyll,mg/L,0,NA
Cl,Chloride,mg/L,0,10000
Co,Cobalt,mg/L,0,1000000
CO2,Carbon Dioxide,ppm,0,100000
CO2_C,Carbon Dioxide-C,mg/L,NA,NA
CO3,Carbonate,mg/L,0,1000000
Cr,Chromium,mg/L,0,1000000
Cs,Caesium,mg/L,0,1000000
Cu,Copper,mg/L,0,1000000
CUSTOMprecipitation,Basin Precipitation (determined by source),mm,0,NA
d18O,Delta 18 Oxygen,ppt,NA,NA
deuterium,Deuterium,unitless,NA,NA
DIC,Dissolved Inorganic Carbon,mg/L,0,100000
DIN,Dissolved Inorganic Nitrogen,mg/L,NA,2000
discharge,Discharge,L/s,0,250000000
DO,Dissolved Oxygen,mg/L,-0.5,40
DO_sat,Dissolved Oxygen Percent Saturation,%,0,200
