variable_code,variable_name,unit
area,Area,ha
cc_cumulative_precip,Watershed Annual Precipitation,mm
cc_precip_median,Daily Median,mm
cc_precip_sd,Daily Standard Deviation,mm
cc_precip_sd_space,Watershed Standard Deviation,mm
cc_precip_sd_year,Annual Standard Deviation,mm
cc_temp_mean,Watershed Mean Temperature,C
cc_temp_mean_median,Daily Median,C
cc_temp_mean_sd,Daily Standard Deviation,C
cc_temp_sd_space,Watershed Standard Deviation,C
cc_temp_sd_year,Annual Standard Deviation,C
ch_annual_Ca_flux_mean,Mean Annual Calcium Flux,kg/ha
ch_annual_Ca_flux_sd_space,Annual Calcium Flux Standard Deviation,kg/ha
ch_annual_Cl_flux_mean,Mean Annual Chlorine Flux,kg/ha
ch_annual_Cl_flux_sd_space,Annual Chlorine Flux Standard Deviation,kg/ha
ch_annual_H_flux_mean,Mean Annual Hydrogen ion Flux,kg/ha
ch_annual_H_flux_sd_space,Annual Hydrogen ion Flux Standard Deviation,kg/ha
ch_annual_K_flux_mean,Mean Annual Potassium Flux,kg/ha
ch_annual_K_flux_sd_space,Annual Potassium Flux Standard Deviation,kg/ha
ch_annual_Mg_flux_mean,Mean Annual Magnesium Flux,kg/ha
ch_annual_Mg_flux_sd_space,Annual Magnesium Flux Standard Deviation,kg/ha
ch_annual_N_flux_mean,Mean Annual Inorganic Nitrogen Flux,kg/ha
ch_annual_N_flux_sd_space,Annual Inorganic Nitrogen Flux Standard Deviation,kg/ha
ch_annual_Na_flux_mean,Mean Annual Sodium Flux,kg/ha
ch_annual_Na_flux_sd_space,Annual Sodium Flux Standard Deviation,kg/ha
ch_annual_NH4_flux_mean,Mean Annual Ammonium Flux,kg/ha
ch_annual_NH4_flux_sd_space,Annual Ammonium Flux Standard Deviation,kg/ha
ch_annual_NO3_flux_mean,Mean Annual nitrate flux,kg/ha
ch_annual_NO3_flux_sd_space,Annual Nitrate Flux Standard Deviation,kg/ha
ch_annual_S_N_flux_mean,Mean Annual Nitrogen+Sulfur Flux,kg/ha
ch_annual_S_N_flux_sd_space,Annual Nitrogen+Sulfur Flux Standard Deviation,kg/ha
ch_annual_SO4_flux_mean,Mean Annual Sulfate Flux,kg/ha
ch_annual_SO4_flux_sd_space,Annual Sulfate Flux Standard Deviation,kg/ha
ck_et_ref_mean,Mean Annual Reference Evapotranspiration (grass),mm
ck_et_ref_median,Daily Reference Evapotranspiration (grass),mm
ck_et_ref_sd,Daily Reference Evapotranspiration (grass) Standard Deviation,mm
ck_et_ref_sd_space,Watershed Reference Evapotranspiration (grass) Standard Deviation,mm
ck_et_ref_sd_year,Annual Reference Evapotranspiration (grass) Standard Deviation,mm
cl_snow_depth_ann_max,Annual Max Snow Depth,mm
cl_snow_depth_ann_mean,Annual Mean Snow Depth,mm
cl_snow_depth_ann_min,Annual Minimum Snow Depth,mm
cl_snow_depth_cd_year,Watershed Snow Depth Standard Deviation,mm
cl_snow_depth_mean,Daily Mean Snow Depth,mm
cl_snow_depth_sd,Daily Snow Depth Standard Deviation,mm
cl_snow_depth_sd_space,Annual Snow Depth Standard Deviation,mm
cl_swe_ann_max,Annual Max Snow Water Equivalent,mm
cl_swe_ann_mean,Annual Mean Snow Water Equivalent,mm
cl_swe_ann_min,Annual Minimum Snow Water Equivalent,mm
cl_swe_mean,Daily Mean Snow Water Equivalent,mm
cl_swe_sd,Daily Snow Water Equivalent Standard Deviation,mm
cl_swe_sd_space,Annual Snow Water Equivalent Standard Deviation,mm
cl_swe_sd_year,Watershed Snow Water Equivalent Standard Deviation,mm
geol_class_EV,Geologic Class Evaporites,%
geol_class_IG,Geologic Class Ice and Glaciers,%
geol_class_MT,Geologic Class Metamorphic Rocks,%
geol_class_ND,Geologic Class No Data,%
geol_class_PA,Geologic Class Acid Plutonic Rocks,%
geol_class_PB,Geologic Class Basic Plutonic Rocks,%
geol_class_PI,Geologic Class Intermediate Plutonic Rock,%
geol_class_PY,Geologic Class Pyroclastics,%
geol_class_SC,Geologic Class Carbonate Sedimentary Rocks,%
geol_class_SM,Geologic Class Mixed Sedimentary Rocks,%
geol_class_SS,Geologic Class Siliciclasstic Sedimentary Rock,%
geol_class_SU,Geologic Class Unconcolidated Sediments,%
geol_class_VA,Geologic Class Acid Volcanic Rocks,%
geol_class_VB,Geologic Class Basic Volvanic Rocks,%
geol_class_VI,Geologic Class Intermediate Volcanic Rock,%
geol_class_WB,Geologic Class Water Bodies,%
hd_bfi_mean,Mean Baseflow Index,%
hd_bfi_sd,Baseflow Index Standard Deviation,%
lg_lncd_lichens,Lichens,%
lg_nlcd_1992_barren,Bare Rock/Sand/Clay (1992),%
lg_nlcd_1992_barren_tran,Transitional Barren (1992),%
lg_nlcd_1992_commercial,Commercial/Industrial/Transportation (1992),%
lg_nlcd_1992_fallow,Fallow (1992),%
lg_nlcd_1992_forest_dec,Deciduous Forest (1992),%
