variable_code,variable_name,unit,variable_type,variable_subtype,valence,flux_convertible
abs250,UV Absorbance at 250nm,unitless,phys,Other,NA,0
abs254,UV Absorbance at 254nm,unitless,phys,Other,NA,0
abs280,UV Absorbance at 280nm,unitless,phys,Other,NA,0
acidity,Acidity,ueq/L,chem_mix,Other,NA,0
Ag,Silver,mg/L,chem_discrete,Cations,NA,1
Al,Aluminum,mg/L,chem_discrete,Other,3,1
Al_ICP,Aluminum ICP,mg/L,chem_discrete,Cations,3,1
alk,Alkalinity,mg/L,chem_mix,Other,NA,1
ANC,Acid Neutralizing Capacity,eq/L,chem_mix,Other,NA,0
ANC960,Acid Neutralizing Capacity 960,ueq/L,chem_mix,Other,NA,0
AnCaR,Anion-Cation Ratio,unitless,chem_mix,Other,NA,0
ANCMet,Acid Neutralizing Capacity Met,ueq/L,chem_mix,Other,NA,0
anionCharge,TOTAL Anion Charge,ueq/L,chem_mix,Other,NA,0
area,Area,ha,ws_char,Terrain,NA,0
As,Arsenic,mg/L,chem_discrete,Cations,3,1
Au,Gold,mg/L,chem_discrete,Other,NA,1
B,Boron,mg/L,chem_discrete,Anions,1,1
Ba,Barium,mg/L,chem_discrete,Cations,2,1
Be,Beryllium,mg/L,chem_discrete,Cations,2,1
Bi,Bismuth,mg/L,chem_discrete,Other,NA,1
BPC,Benthic Particulate Carbon,mg/cm2,chem_mix,Other,NA,0
BPN,Benthic Particulate Nitrogen,mg/cm2,chem_mix,Other,NA,0
BPP,Benthic Particulate Phosphorus,mg/cm2,chem_mix,Other,NA,0
Br,Bromide,mg/L,chem_discrete,Anions,1,1
Ca,Calcium,mg/L,chem_discrete,Cations,2,1
cationCharge,TOTAL Cation Charge,ueq/L,chem_mix,Other,NA,0
cc_cumulative_precip,Watershed Annual Precipitation,mm,ws_char,PRISM Precipitation,NA,0
cc_precip_median,Daily Median,mm,ws_char,PRISM Precipitation,NA,0
cc_precip_sd,Daily Standard Deviation,mm,ws_char,PRISM Precipitation,NA,0
cc_precip_sd_space,Watershed Standard Deviation,mm,ws_char,PRISM Precipitation,NA,0
cc_precip_sd_year,Annual Standard Deviation,mm,ws_char,PRISM Precipitation,NA,0
cc_temp_mean,Watershed Mean Temperature,C,ws_char,PRISM Temperature,NA,0
cc_temp_mean_median,Daily Median,C,ws_char,PRISM Temperature,NA,0
cc_temp_mean_sd,Daily Standard Deviation,C,ws_char,PRISM Temperature,NA,0
cc_temp_sd_space,Watershed Standard Deviation,C,ws_char,PRISM Temperature,NA,0
cc_temp_sd_year,Annual Standard Deviation,C,ws_char,PRISM Temperature,NA,0
Cd,Cadmium,mg/L,chem_discrete,Cations,2,1
Cd111,Cadmium-111,mg/L,chem_discrete,Cations,2,1
Ce,Cerium,mg/L,chem_discrete,Cations,NA,1
