network,domain,site_name,buffer_radius_m,snap_method,snap_distance_m,dem_resolution
lter,hjandrews,GSLOOK,100,standard,150,10
lter,hjandrews,GSWS01,100,jenson,150,10
lter,hjandrews,GSWS02,100,standard,150,10
lter,hjandrews,GSWS03,100,standard,150,10
lter,hjandrews,GSWS06,100,jenson,150,10
lter,hjandrews,GSWS07,100,jenson,150,10
neon,neon,FLNT,NA,NA,NA,NA
neon,neon,TOMB,NA,NA,NA,NA
lter,konza,N04D,100,standard,150,10
lter,konza,N20B,100,jenson,150,10
lter,konza,N01B,100,jenson,150,10
lter,konza,N02B,100,standard,150,10
