variable_code,variable_name,unit,method,variable_type,variable_subtype,R_display,valence,flux_convertible,molecule,notes,val_min,val_max
abs250,UV Absorbance at 250nm,unitless,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
abs254,UV Absorbance at 254nm,unitless,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
abs280,UV Absorbance at 280nm,unitless,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
acidity,Acidity,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,0,1000000
Ag,Silver,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Ag,Not sure what valence to use,0,1000000
Al,Aluminum,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),3,1,Al,NA,0,10
Al_ICP,Aluminum ICP,mg/L,UNKNOWN,chem_discrete,Cations,expression(Al^'+3'),3,1,Al,NA,0,10
alk,Alkalinity,mg/L,electrometric titration to pH 4.5,chem_mix,Other,expression(UNKNOWN),NA,1,NA,NA,0,100000
ANC,Acid Neutralizing Capacity,eq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
ANC960,Acid Neutralizing Capacity 960,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,standardize this to ANC (hbef?),NA,NA
AnCaR,Anion-Cation Ratio,unitless,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
ANCMet,Acid Neutralizing Capacity Met,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,standardize this to ANC (hbef?),NA,NA
anionCharge,TOTAL Anion Charge,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
area,Area,ha,UNKNOWN,ws_char,Terrain,NA,NA,0,NA,NA,NA,NA
As,Arsenic,mg/L,UNKNOWN,chem_discrete,Cations,expression(As^'+3'),3,1,As,Check valence,0,1000000
Au,Gold,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,Au,NA,0,1000000
B,Boron,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Anions,expression(B^'-'),1,1,B,NA,0,1000000
Ba,Barium,mg/L,UNKNOWN,chem_discrete,Cations,expression(Ba^'+2'),2,1,Ba,NA,0,1000000
Be,Beryllium,mg/L,UNKNOWN,chem_discrete,Cations,expression(Be^'+2'),2,1,Be,NA,0,1000000
Bi,Bismuth,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,Bi,NA,0,1000000
BPC,Benthic Particulate Carbon,mg/cm2,"Epilithic - Whole Rock, PE2400 CHN Combustion Method",chem_mix,Other,expression(mg/cm^'2'),NA,0,NA,NA,0,NA
BPN,Benthic Particulate Nitrogen,mg/cm2,"Epilithic - Whole Rock, PE2400 CHN Combustion Method",chem_mix,Other,expression(mg/cm^'2'),NA,0,NA,NA,0,NA
BPP,Benthic Particulate Phosphorus,mg/cm2,"Epilithic - Whole Rock, PE2400 CHN Combustion Method",chem_mix,Other,expression(mg/cm^'2'),NA,0,NA,NA,0,NA
Br,Bromide,mg/L,UNKNOWN,chem_discrete,Anions,expression(Br^'-'),1,1,NA,NA,0,1000000
Ca,Calcium,mg/L,flame atomic absorption spectroscopy,chem_discrete,Cations,expression(Ca^'+2'),2,1,NA,NA,0,1000
cationCharge,TOTAL Cation Charge,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
cc_cumulative_precip,Watershed Annual Precipitation,mm,UNKNOWN,ws_char,PRISM Precipitation,NA,NA,0,NA,NA,NA,NA
cc_precip_median,Daily Median,mm,UNKNOWN,ws_char,PRISM Precipitation,NA,NA,0,NA,NA,NA,NA
cc_precip_sd,Daily Standard Deviation,mm,UNKNOWN,ws_char,PRISM Precipitation,NA,NA,0,NA,NA,NA,NA
cc_precip_sd_space,Watershed Standard Deviation,mm,UNKNOWN,ws_char,PRISM Precipitation,NA,NA,0,NA,NA,NA,NA
cc_precip_sd_year,Annual Standard Deviation,mm,UNKNOWN,ws_char,PRISM Precipitation,NA,NA,0,NA,NA,NA,NA
cc_temp_mean,Watershed Mean Temperature,C,UNKNOWN,ws_char,PRISM Temperature,NA,NA,0,NA,NA,NA,NA
cc_temp_mean_median,Daily Median,C,UNKNOWN,ws_char,PRISM Temperature,NA,NA,0,NA,NA,NA,NA
cc_temp_mean_sd,Daily Standard Deviation,C,UNKNOWN,ws_char,PRISM Temperature,NA,NA,0,NA,NA,NA,NA
cc_temp_sd_space,Watershed Standard Deviation,C,UNKNOWN,ws_char,PRISM Temperature,NA,NA,0,NA,NA,NA,NA
cc_temp_sd_year,Annual Standard Deviation,C,UNKNOWN,ws_char,PRISM Temperature,NA,NA,0,NA,NA,NA,NA
Cd,Cadmium,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Cations,expression(Cd^'+2'),2,1,Cd,NA,0,1000000
Cd111,Cadmium-111,mg/L,UNKNOWN,chem_discrete,Cations,expression(Cd^'+2'),2,1,Cd,NA,0,1000000
Ce,Cerium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Ce,Not sure what valence to use,0,1000000
ch_annual_Ca_flux_mean,Mean Annual Calcium Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_Ca_flux_sd_space,Annual Calcium Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_Cl_flux_mean,Mean Annual Chlorine Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_Cl_flux_sd_space,Annual Chlorine Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_H_flux_mean,Mean Annual Hydrogen ion Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_H_flux_sd_space,Annual Hydrogen ion Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_K_flux_mean,Mean Annual Potassium Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_K_flux_sd_space,Annual Potassium Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_Mg_flux_mean,Mean Annual Magnesium Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_Mg_flux_sd_space,Annual Magnesium Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_N_flux_mean,Mean Annual Inorganic Nitrogen Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_N_flux_sd_space,Annual Inorganic Nitrogen Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_Na_flux_mean,Mean Annual Sodium Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
