network,domain,site_code,buffer_radius_m,snap_method,snap_distance_m,dem_resolution,flat_increment,breach_method,burn_streams
lter,niwot,SADDLE,100,standard,150,10,0.01,basic,FALSE
lter,niwot,ALBION,100,standard,150,10,0.01,basic,FALSE
lter,niwot,MARTINELLI,100,standard,150,10,0.01,basic,FALSE
lter,baltimore,MAWI,10000,standard,150,12,0.01,basic,FALSE
lter,mcmurdo,anderson_h1,10000,standard,50,10,0.01,basic,FALSE
lter,arctic,Oksrukuyik_Creek_2.7,5000,standard,150,10,0.01,basic,FALSE
lter,arctic,Roche_Moutonnee_Creek_Main,5000,standard,150,10,0.01,basic,FALSE
lter,arctic,Toolik_Inlet_Main,5000,standard,150,10,0.01,basic,FALSE
lter,arctic,Kuparuk_River_0.56,1000,jenson,150,8,null,basic,TRUE
lter,konza,N04D,1000,jenson,150,10,0.01,basic,FALSE
lter,konza,N20B,1000,jenson,150,10,0.01,basic,FALSE
lter,konza,N01B,1000,standard,150,10,0.01,basic,FALSE
lter,konza,N02B,1000,standard,150,10,0.01,basic,FALSE
lter,bonanza,C3,1000,standard,150,10,0.01,basic,FALSE
lter,luquillo,MPR,1000,standard,150,10,0.01,basic,FALSE
lter,luquillo,Q1,1000,standard,150,10,0.01,basic,FALSE
lter,luquillo,Q2,1000,standard,150,10,0.01,basic,FALSE
lter,luquillo,Q3,1000,standard,150,10,0.01,basic,FALSE
lter,luquillo,QP,1000,standard,150,10,0.01,basic,FALSE
czo,catalina_jemez,RedondoMeadow,1000,standard,150,10,0.01,basic,FALSE
czo,catalina_jemez,UpperRedondo,1000,jenson,150,10,0.01,basic,FALSE
czo,catalina_jemez,UpperJaramillo,1000,jenson,150,10,0.01,basic,FALSE
czo,catalina_jemez,UpperLaJara,1000,standard,150,10,0.01,basic,FALSE
czo,catalina_jemez,MC_ FLUME,1000,standard,150,10,0.01,basic,FALSE
czo,catalina_jemez,MarshallGulch,1000,jenson,150,10,0.01,basic,FALSE
czo,catalina_jemez,Bigelow,1000,standard,150,10,0.01,basic,FALSE
czo,catalina_jemez,OracleRidge,1000,standard,150,10,0.01,basic,FALSE
czo,catalina_jemez,FLUME_MCZOB,1000,standard,150,10,0.01,basic,FALSE
usfs,fernow,WS-5,1000,jenson,150,12,0.01,basic,FALSE
usfs,fernow,WS-2,1000,standard,50,12,0.01,basic,FALSE
usfs,fernow,WS-3,1000,standard,50,12,0.01,basic,FALSE
usfs,fernow,WS-10,1000,jenson,150,12,0.01,basic,FALSE
usfs,fernow,WS-1,1000,standard,50,12,0.01,basic,FALSE
usfs,fernow,WS-7,1000,standard,50,12,0.01,basic,FALSE
usfs,fernow,WS-6,1000,standard,150,12,0.01,basic,FALSE
usfs,fernow,WS-14,1000,standard,50,12,0.01,basic,FALSE
doe,east_river,Copper,1000,standard,50,12,null,basic,FALSE
doe,east_river,Avery,1000,standard,50,12,null,basic,FALSE
doe,east_river,Gothic,1000,standard,50,12,null,basic,FALSE
doe,east_river,Bradley,1000,standard,50,12,null,basic,FALSE
doe,east_river,Rustlers,10000,standard,50,12,null,basic,FALSE
doe,east_river,EAQ,1000,standard,50,12,null,basic,FALSE
doe,east_river,Quigley,1000,standard,50,12,null,basic,FALSE
doe,east_river,PH,10000,standard,150,12,null,basic,FALSE
doe,east_river,EBC,10000,jenson,150,12,null,basic,FALSE
doe,east_river,Benthette,1000,standard,50,12,null,basic,FALSE
doe,east_river,WG,10000,standard,50,12,null,basic,FALSE
lter,santa_barbara,AB00,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,AT07,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,BC02,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,DV01,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,GV01,1000,jenson,150,10,null,basic,FALSE
lter,santa_barbara,HO00,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,MC00,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,MC06,1000,standard,150,10,null,basic,FALSE
lter,santa_barbara,ON02,1000,standard,150,10,null,basic,FALSE
