"attributeName"	"attributeDefinition"	"class"	"unit"	"dateTimeFormatString"	"missingValueCode"	"missingValueCodeExplanation"
"date"	"date"	"Date"		"Y-M-D"		
"site_code"	"Short name for MacroSheds site. See sites.csv"	"character"				
"domain"	"Short name for MacroSheds domain. See sites.csv"	"character"				
"network"	"Short name for MacroSheds network. See sites.csv "	"character"				
"dayl(s)"	"Watershed average seconds of daylight"	"numeric"	"second"		"NA"	"missing value"
"prcp(mm/day)"	"Watershed average precipitation"	"numeric"	"millimetersPerDay"		"NA"	"missing value"
"srad(W/m2)"	"Watershed average solar radiation"	"numeric"	"wattPerMeterSquared"		"NA"	"missing value"
"swe(mm)"	"Watershed average snow-water equivalent"	"numeric"	"millimeter"		"NA"	"missing value"
"tmax(C)"	"Watershed average maximum air temperature"	"numeric"	"celsius"		"NA"	"missing value"
"tmin(C)"	"Watershed average minimum air temperature"	"numeric"	"celsius"		"NA"	"missing value"
"vp(Pa)"	"Watershed average vapor pressure"	"numeric"	"pascal"		"NA"	"missing value"
"pet(mm)"	"Watershed average potential evapotranspiration"	"numeric"	"millimeter"		"NA"	"missing value"
