"attributeName"	"attributeDefinition"	"class"	"unit"	"dateTimeFormatString"	"missingValueCode"	"missingValueCodeExplanation"
"network"	"Short name for MacroSheds network. See sites.csv"	"character"				
"domain"	"Short name for MacroSheds domain. See sites.csv"	"character"				
"site_code"	"Short name for MacroSheds site. See sites.csv"	"character"				
"ws_status"	"Whether the site is part of an experimental watershed."	"categorical"				
"disturbance_source"	"Whether the disturbance was intentional"	"categorical"			"NA"	"missing value"
"pulse_or_chronic"	"The temporal nature of the disturbance"	"categorical"			"NA"	"missing value"
"disturbance"	"The category of disturbance"	"character"			"NA"	"missing value"
"details"	"Details of the disturbance"	"character"			"NA"	"missing value"
"start_date"	"The date on which the disturbance began"	"Date"		"Y-M-D"	"NA"	"missing value"
"end_date"	"The date on which the disturbance ended"	"Date"		"Y-M-D"	"NA"	"missing value"
"data_source"	"A URL where more information can be found"	"character"			"NA"	"missing value"
