"attributeName"	"attributeDefinition"	"class"	"unit"	"dateTimeFormatString"	"missingValueCode"	"missingValueCodeExplanation"
"network"	"Short name for MacroSheds network. See sites.csv "	"character"				
"domain"	"Short name for MacroSheds domain. See sites.csv"	"character"				
"site_code"	"Short name for MacroSheds site. See sites.csv"	"character"				
"var"	"Variable code. See variables_timeseries.csv"	"character"				
"water_year"	"Full year beginning on October 1 and ending on Sept 30"	"numeric"	"waterYear"			
"cq_squared"	"The coefficient of determination from the concentration-discharge relationship"	"numeric"	"dimensionless"		"NA"	"missing value"
"cq_resid_acf"	"Autocorrelation coefficient at lag 1 on the residuals of the concentration-discharge relationship"	"numeric"	"dimensionless"		"NA"	"missing value"
"c_acf"	"Autocorrelation coefficient at lag 1 for the concentration series"	"numeric"	"dimensionless"		"NA"	"missing value"
"n_c_obs"	"Number of concentration observations"	"numeric"	"dimensionless"		"NA"	"missing value"
"n_q_obs"	"Number of discharge observations"	"numeric"	"dimensionless"		"NA"	"missing value"
"n_paired_cq_obs"	"Number of paired concentration and discharge observations"	"numeric"	"dimensionless"		"NA"	"missing value"
