attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	details
network	short name for the data network associated with a MacroSheds site. See sites.csv	character	NA	NA	NA	NA	NA
domain	short name for the data domain associated with a MacroSheds site. See sites.csv	character	NA	NA	NA	NA	NA
site_code	short name for MacroSheds site. See sites.csv	character	NA	NA	NA	NA	NA
area	watershed area	numeric	hectare	NA	NA	missing value	watershed area is calculated using the R function sf::st_area() with inputs from either watershed boundary shapefiles provided by domains or watershed shapfiles delineated by macrosheds based on latitude and longitude of stream gauges
precip_mean	multi-year mean of annual precip_median [class: climate, source: PRISM]	numeric	millimeter	NA	NA	missing value	NA
temp_mean	multi-year mean of annual precip_median [class: climate, source: PRISM]	numeric	celsius	NA	NA	missing value	NA
sos_mean	watershed-mean start of growing season (or multi-year mean thereof) [class: vegetation, source: USGS]	numeric	dayOfYear	NA	NA	missing value	NA
eos_mean	watershed-mean end of growing season as day of year (or multi-year mean thereof) [class: vegetation, source: USGS]	numeric	dayOfYear	NA	NA	missing value	NA
los_mean	watershed-mean length of growing season as day of year (or multi-year mean thereof) [class: vegetation, source: USGS]	numeric	number	NA	NA	missing value	NA
mos_mean	watershed-mean maximum day of photosynthesis in the canopy as day of year (or multi-year mean thereof) [class: vegetation, source: USGS]	numeric	number	NA	NA	missing value	NA
gpp_CONUS_30m_mean	multi-year mean of annual gpp_CONUS_30m_median [class: vegetation, source: University of Montana Numerical Terradynamic Simulation Group (NTSG)]	numeric	kilogramsCarbonPerSquareMeter	NA	NA	missing value	NA
npp_CONUS_250m_mean	multi-year mean of annual npp_CONUS_250m_median [class: vegetation, source: University of Montana Numerical Terradynamic Simulation Group (NTSG)]	numeric	kilogramsCarbonPerSquareMeter	NA	NA	missing value	NA
gpp_global_500m_mean	multi-year mean of gpp_global_500m_median [class: vegetation, source: MODIS]	numeric	kilogramsCarbonPerSquareMeter	NA	NA	missing value	NA
npp_global_500m_mean	multi-year mean of npp_global_500m_median [class: vegetation, source: MODIS]	numeric	kilogramsCarbonPerSquareMeter	NA	NA	missing value	NA
slope_mean	watershed-mean slope [class: terrain, source: Amazon Web Services Terrain Tiles]	numeric	percent	NA	NA	missing value	Watershed slope is calculated based on DEM downloaded with the R function elevatr::get_elev_raster() (from Amazon Web Services and Open Topography Global Datasets API) and the watershed shapefile with the R function whitebox::wbt_slope()
elev_mean	watershed-mean elevation [class: terrain, source: Amazon Web Services Terrain Tiles]	numeric	meter	NA	NA	missing value	Watershed elevation is calculated based on DEM downloaded with the R function elevatr::get_elev_raster() (from Amazon Web Services and Open Topography Global Datasets API)
elev_min	watershed-minimum elevation [class: terrain, source: Amazon Web Services Terrain Tiles]	numeric	meter	NA	NA	missing value	Watershed elevation is calculated based on DEM downloaded with the R function elevatr::get_elev_raster() (from Amazon Web Services and Open Topography Global Datasets API)
