geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
w1	43.952034	43.952034	-71.726501	-71.726501
w2	43.953358	43.953358	-71.724174	-71.724174
w3	43.954875	43.954875	-71.722816	-71.722816
w4	43.950176	43.950176	-71.725792	-71.725792
w5	43.948845	43.948845	-71.731918	-71.731918
w6	43.94994	43.94994	-71.735641	-71.735641
w7	43.927509	43.927509	-71.767075	-71.767075
w8	43.929436	43.929436	-71.759521	-71.759521
w9	43.926014	43.926014	-71.747195	-71.747195
HBK	43.939763	43.939763	-71.703585	-71.703585
ML70	43.940567	43.940567	-71.690937	-71.690937
GSLOOK	44.2101255022	44.2101255022	-122.257145776	-122.257145776
GSWS01	44.2073394042	44.2073394042	-122.258027394	-122.258027394
GSWS02	44.2120146041	44.2120146041	-122.244875675	-122.244875675
GSWS03	44.2194395724	44.2194395724	-122.24300003	-122.24300003
GSWS06	44.2615081253	44.2615081253	-122.180706523	-122.180706523
GSWS07	44.2646368258	44.2646368258	-122.175264862	-122.175264862
GSWS08	44.266294258	44.266294258	-122.170792538	-122.170792538
GSWS09	44.2011898244	44.2011898244	-122.258801374	-122.258801374
GSWS10	44.2170569856	44.2170569856	-122.261055512	-122.261055512
GSMACK	44.21944	44.21944	-122.1674	-122.1674
TSLOOK	44.22478329	44.22478329	-122.1216289	-122.1216289
TSMACK	44.21664907	44.21664907	-122.16547369	-122.16547369
TSMCRA	44.25638612	44.25638612	-122.16757303	-122.16757303
TSQRTZ	44.198319	44.198319	-122.301997	-122.301997
TSLOMA	44.22756413	44.22756413	-122.16802024	-122.16802024
TSLOMC	44.23298992	44.23298992	-122.20863436	-122.20863436
FLNT	31.18542	31.18542	-84.4374	-84.4374
TOMB	31.8521	31.8521	-88.16107	-88.16107
BLWA	32.54153	32.54153	-87.79815	-87.79815
WLOU	39.89137	39.89137	-105.9154	-105.9154
MCDI	38.94428	38.94428	-96.44197	-96.44197
LEWI	39.09564	39.09564	-77.98322	-77.98322
BLUE	34.44422	34.44422	-96.6242	-96.6242
TECR	36.95528	36.95528	-119.02699	-119.02699
HOPB	42.47179	42.47179	-72.32963	-72.32963
MART	45.79125	45.79125	-121.93196	-121.93196
BIGC	37.058	37.058	-119.256	-119.256
REDB	40.78374	40.78374	-111.79765	-111.79765
SYCA	33.74906	33.74906	-111.5069	-111.5069
COMO	40.03496	40.03496	-105.54487	-105.54487
BLDE	44.95011	44.95011	-110.58715	-110.58715
PRIN	33.37859	33.37859	-97.78226	-97.78226
MCRA	44.2596	44.2596	-122.16555	-122.16555
CARI	65.15306	65.15306	-147.50246	-147.50246
OKSR	68.66975	68.66975	-149.14302	-149.14302
ARIK	39.75825	39.75825	-102.4471	-102.4471
GUIL	18.1741	18.1741	-66.79851	-66.79851
CUPE	18.11352	18.11352	-66.98676	-66.98676
POSE	38.89332	38.89332	-78.14678	-78.14678
KING	39.10506	39.10506	-96.60336	-96.60336
MAYF	32.95966	32.95966	-87.40813	-87.40813
WALK	35.95947	35.95947	-84.28041	-84.28041
LECO	35.69043	35.69043	-83.50379	-83.50379
N04D	39.0874	39.0874	-96.5844	-96.5844
N20B	39.08858	39.08858	-96.57654	-96.57654
N01B	39.08668	39.08668	-96.577	-96.577
N02B	39.0898	39.0898	-96.5886	-96.5886
HOKN	39.10376	39.10376	-96.59542	-96.59542
NFKC	39.10155	39.10155	-96.59239	-96.59239
SFKC	39.10128	39.10128	-96.59239	-96.59239
KZFL	39.08763	39.08763	-96.58482	-96.58482
SHAN	39.11439	39.11439	-96.55757	-96.55757
TUBE	39.09873	39.09873	-96.58944	-96.58944
HIKX	39.107	39.107	-96.6068	-96.6068
GFCP	39.2715	39.2715	-76.649	-76.649
GFGB	39.443	39.443	-76.783	-76.783
GFGL	39.4718	39.4718	-76.817	-76.817
GFVN	39.3458	39.3458	-76.733	-76.733
POBR	39.4803	39.4803	-76.688	-76.688
DRKR	39.3112	39.3112	-76.717	-76.717
BARN	39.4794	39.4794	-76.678	-76.678
RGHT	39.2547	39.2547	-76.69	-76.69
MCDN	39.4004	39.4004	-76.77	-76.77
MAWI	39.2755	39.2755	-76.666	-76.666
RR1	39.404756	39.404756	-76.779566	-76.779566
