"dataPackageID"	"systemID"	"title"	"givenName"	"middleInitial"	"surName"	"role"	"organizationName"	"email"	"onlineDescription"	"url"
"edi.618.1"	"EDI"	"The Bear Brook Watershed in Maine, USA: Long-term atmospheric deposition chemistry 1987 - 2012 ver 1"				"contact"	"bear"	"kaizad.patel@pnnl.gov"	"Patel, K.F., I.J. Fernandez, S.J. Nelson, C.J. Spencer, and S.A. Norton. 2020. The Bear Brook Watershed in Maine, USA: Long-term atmospheric deposition chemistry 1987 - 2012 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/c207d374793da5168749d460a4933f2f (Accessed 2022-03-25)."	"https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=618&revision=1"
"edi.618.1"	"EDI"	"The Bear Brook Watershed in Maine, USA: Long-term atmospheric deposition chemistry 1987 - 2012 ver 1"				"creator"	"bear"	"kaizad.patel@pnnl.gov"	"Patel, K.F., I.J. Fernandez, S.J. Nelson, C.J. Spencer, and S.A. Norton. 2020. The Bear Brook Watershed in Maine, USA: Long-term atmospheric deposition chemistry 1987 - 2012 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/c207d374793da5168749d460a4933f2f (Accessed 2022-03-25)."	"https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=618&revision=1"
"edi.621.1"	"EDI"	"The Bear Brook Watershed in Maine, USA: Long-term stream chemistry 1986 - 2016 ver 1"				"contact"	"bear"	"kaizad.patel@pnnl.gov"	"Patel, K.F., I.J. Fernandez, S.J. Nelson, C.J. Spencer, and S.A. Norton. 2020. The Bear Brook Watershed in Maine, USA: Long-term stream chemistry 1986 - 2016 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/04d5e1c0533b1e60537530f726876952"	"https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=621"
"edi.621.1"	"EDI"	"The Bear Brook Watershed in Maine, USA: Long-term stream chemistry 1986 - 2016 ver 1"				"creator"	"bear"	"kaizad.patel@pnnl.gov"	"Patel, K.F., I.J. Fernandez, S.J. Nelson, C.J. Spencer, and S.A. Norton. 2020. The Bear Brook Watershed in Maine, USA: Long-term stream chemistry 1986 - 2016 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/04d5e1c0533b1e60537530f726876952"	"https://portal.edirepository.org/nis/mapbrowse?scope=edi&identifier=621"
		"BCCZO -- Air Temperature, Meteorology -- North-Facing Meteorological Tower (GGL_NF_Met) -- Gordon Gulch: Lower -- (2012-Ongoing), HydroShare, http://www.hydroshare.org/resource/d30b44383d154225b3c99e557d124b7d"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Air Temperature, Meteorology -- North-Facing Meteorological Tower (GGL_NF_Met) -- Gordon Gulch: Lower -- (2012-Ongoing), HydroShare, http://www.hydroshare.org/resource/d30b44383d154225b3c99e557d124b7d"	"https://www.hydroshare.org/resource/d30b44383d154225b3c99e557d124b7d"
		"BCCZO -- Air Temperature, Meteorology -- North-Facing Meteorological Tower (GGL_NF_Met) -- Gordon Gulch: Lower -- (2012-Ongoing), HydroShare, http://www.hydroshare.org/resource/d30b44383d154225b3c99e557d124b7d"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Air Temperature, Meteorology -- North-Facing Meteorological Tower (GGL_NF_Met) -- Gordon Gulch: Lower -- (2012-Ongoing), HydroShare, http://www.hydroshare.org/resource/d30b44383d154225b3c99e557d124b7d"	"https://www.hydroshare.org/resource/d30b44383d154225b3c99e557d124b7d"
		"BCCZO -- Air Temperature, Meteorology -- South-Facing Meteorological Tower (GGL_SF_Met) -- Gordon Gulch: Lower -- (2012-2020), HydroShare, http://www.hydroshare.org/resource/d66f1f3239a94c7682c71217b1a94e0b"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Air Temperature, Meteorology -- South-Facing Meteorological Tower (GGL_SF_Met) -- Gordon Gulch: Lower -- (2012-2020), HydroShare, http://www.hydroshare.org/resource/d66f1f3239a94c7682c71217b1a94e0b"	"https://www.hydroshare.org/resource/d66f1f3239a94c7682c71217b1a94e0b"
		"BCCZO -- Air Temperature, Meteorology -- South-Facing Meteorological Tower (GGL_SF_Met) -- Gordon Gulch: Lower -- (2012-2020), HydroShare, http://www.hydroshare.org/resource/d66f1f3239a94c7682c71217b1a94e0b"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Air Temperature, Meteorology -- South-Facing Meteorological Tower (GGL_SF_Met) -- Gordon Gulch: Lower -- (2012-2020), HydroShare, http://www.hydroshare.org/resource/d66f1f3239a94c7682c71217b1a94e0b"	"https://www.hydroshare.org/resource/d66f1f3239a94c7682c71217b1a94e0b"
		"BCCZO -- Electrical Conductivity -- GGL_SW_Conductivity, GGU_SW_Conductivity -- Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/70176872f4c74ee09ddb56d1cc7e8472"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Rock, N., S. Anderson (2020). BCCZO -- Electrical Conductivity -- GGL_SW_Conductivity, GGU_SW_Conductivity -- Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/70176872f4c74ee09ddb56d1cc7e8472"	"https://www.hydroshare.org/resource/70176872f4c74ee09ddb56d1cc7e8472"
		"BCCZO -- Electrical Conductivity -- GGL_SW_Conductivity, GGU_SW_Conductivity -- Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/70176872f4c74ee09ddb56d1cc7e8472"	"Nate"		"Rock"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Rock, N., S. Anderson (2020). BCCZO -- Electrical Conductivity -- GGL_SW_Conductivity, GGU_SW_Conductivity -- Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/70176872f4c74ee09ddb56d1cc7e8472"	"https://www.hydroshare.org/resource/70176872f4c74ee09ddb56d1cc7e8472"
