domains,q_and_chem,q_only,chem_only,chem_or_q
all,196,208,511,523
bear,2,2,2,2
boulder,4,4,13,13
calhoun,1,1,17,17
catalina_jemez,12,14,134,136
shale_hills,4,4,7,7
east_river,11,13,16,18
walker_branch,2,2,2,2
krycklan,15,15,27,27
arctic,5,5,54,54
baltimore,9,9,24,24
bonanza,3,3,11,11
hbef,9,9,12,12
hjandrews,10,10,17,17
konza,4,4,11,11
luquillo,10,10,14,14
mcmurdo,18,18,56,56
niwot,8,8,14,13
plum,4,4,11,11
santa_barbara,12,18,13,19
neon,27,27,27,27
fernow,9,9,9,9
krew,8,10,8,10
santee,4,4,4,4
suef,4,4,7,7
usgs,1,1,1,1
