prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components,url
VERSIONLESS001,precipitation,ready,ready,NA,precip_pchem_pflux__ms006,NA,east_river_met,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-04a0bf909a5e63a-20201207T194832971
VERSIONLESS002,discharge,ready,ready,NA,discharge__ms002,NA,east_river_discharge,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/packages/application%2Fbagit-097/ess-dive-39d95e263bec24d-20190301T155200040382
VERSIONLESS003,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,east_river_isotopes,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-52de5583f0e5091-20230810T170752005
VERSIONLESS004,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,east_river_cations,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-92ab2878611a0ce-20230810T170046315
VERSIONLESS005,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,east_river_anions,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-77ef6a18c6071b4-20230810T165605806
VERSIONLESS006,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,east_river_carbon,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-596b6956abe0c60-20230810T170333201
VERSIONLESS007,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,east_river_nitrogen,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-c924a99c907e8f4-20230810T171143314
VERSIONLESS008,ws_boundary,ready,ready,NA,precip_pchem_pflux__ms006,NA,east_river_ws_boundaries,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/packages/application%2Fbagit-097/ess-dive-3b9a58adc163fd4-20190509T155206477018
VERSIONLESS009,discharge,ready,ready,NA,discharge__ms002,NA,east_river_discharge_v2,https://data.ess-dive.lbl.gov/catalog/d1/mn/v2/object/ess-dive-c5f69f447232423-20230710T184311288
ms001,stream_chemistry,NA,NA,ready,stream_flux_inst__ms003,NA,NA,NA
ms002,discharge,NA,NA,ready,stream_flux_inst__ms003,NA,NA,NA
ms003,stream_flux_inst,NA,NA,ready,NA,NA,NA,NA
ms004,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux__ms006,NA,NA,NA
ms005,stream_gauge_locations,NA,NA,ready,NA,NA,NA,NA
ms006,precip_pchem_pflux,NA,NA,ready,NA,NA,NA,NA
ms007,ws_boundary,NA,NA,linked,NA,automated entry,NA,NA
ms900,precipitation,NA,NA,NA,NA,automated entry,NA,NA
ms000,ws_boundary,NA,NA,NA,precip_pchem_pflux__ms006,automated entry,NA,NA
