prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
VERSIONLESS001,discharge,ready,ready,NA,stream_flux_inst__ms001,NA,NA
VERSIONLESS002,precip_chemistry,ready,ready,NA,precip_pchem_pflux__ms002,NA,NA
VERSIONLESS003,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,NA,NA
VERSIONLESS004,stream_temperature,ready,ready,NA,stream_chemistry__ms001,NA,NA
VERSIONLESS005,ws_boundary,ready,ready,NA,NA,NA,NA
VERSIONLESS006,precipitation,ready,ready,NA,precip_pchem_pflux__ms002,NA,NA
ms001,stream_chemistry,NA,NA,ready,stream_flux_inst__ms001,NA,NA
ms002,stream_flux_inst,NA,NA,ready,NA,NA,NA
ms003,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux__ms002,NA,NA
ms004,precip_pchem_pflux,NA,NA,ready,NA,NA,NA
ms005,discharge,NA,NA,linked,NA,automated entry,NA
ms006,ws_boundary,NA,NA,linked,NA,automated entry,NA
ms901,precip_chemistry,NA,NA,NA,NA,automated entry,NA
ms900,precipitation,NA,NA,NA,NA,automated entry,NA
ms902,precip_flux_inst,NA,NA,NA,NA,automated entry,NA
