network,domain,macrosheds_prodcode,doi,data_status,license,license_type,license_sharealike,IR_acknowledgement_text,IR_acknowledge_domain,IR_acknowledge_funding_sources,IR_acknowledge_grant_numbers,IR_notify_of_intentions,IR_notify_on_distribution,IR_provide_online_access,IR_provide_two_reprints,IR_collaboration_consultation,IR_questions,IR_needs_clarification,contact,contact_name1,creator_name1,funding,citation,link,link_download_datetime
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/adVF13uWj9IlUHOhej0T_EFk,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2023). Water balance - stream discharge from Kallkälsbäcken, Catchment 7, 2004-09-30–2023-11-13. Svartberget Research Station. https://hdl.handle.net/11676.1/adVF13uWj9IlUHOhej0T_EFk",https://hdl.handle.net/11676.1/adVF13uWj9IlUHOhej0T_EFk,2024-04-23 22:47:35 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/A_CTnQy1EXST8ux_XvoBz5lC,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","SITES. (2023). Water balance - stream discharge from Västrabäcken, Catchment 2, 2005-04-06–2023-11-17. SITES. https://hdl.handle.net/11676.1/A_CTnQy1EXST8ux_XvoBz5lC",https://hdl.handle.net/11676.1/A_CTnQy1EXST8ux_XvoBz5lC,2024-04-23 22:47:57 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/PQm09lq3fX665X9hhtoOKdZA,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Water balance - stream discharge from Åhedbäcken, Catchment 14, 2008-04-23–2017-10-31. Svartberget Research Station. https://hdl.handle.net/11676.1/PQm09lq3fX665X9hhtoOKdZA",https://hdl.handle.net/11676.1/PQm09lq3fX665X9hhtoOKdZA,2024-04-23 22:48:20 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/rtG6gNR3dS26m0xE8Tap9DWj,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Water balance - stream discharge from Degerö, Catchment 18, 2012-04-25–2023-11-23. Svartberget Research Station. https://hdl.handle.net/11676.1/rtG6gNR3dS26m0xE8Tap9DWj",https://hdl.handle.net/11676.1/rtG6gNR3dS26m0xE8Tap9DWj,2024-04-23 22:48:41 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/dLKWCvbkrEQzz2-lHiNkYxAN,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2023). Water balance - stream discharge from Kallkälsmyren, Catchment 4, 2007-05-29–2023-11-13. Svartberget Research Station. https://hdl.handle.net/11676.1/dLKWCvbkrEQzz2-lHiNkYxAN",https://hdl.handle.net/11676.1/dLKWCvbkrEQzz2-lHiNkYxAN,2024-04-23 22:49:04 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/XjOoaOBQPMWb3db_RQJm-fIX,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Water balance - stream discharge from Långbäcken, Catchment 13, 2009-04-28–2023-12-20. Svartberget Research Station. https://hdl.handle.net/11676.1/XjOoaOBQPMWb3db_RQJm-fIX",https://hdl.handle.net/11676.1/XjOoaOBQPMWb3db_RQJm-fIX,2024-04-23 22:49:26 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/P4X18fEEWbkxYs4YNq4Er1Qm,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Water balance - stream discharge from Krycklan, Catchment 16, 2007-03-22–2019-12-31. Svartberget Research Station. https://hdl.handle.net/11676.1/P4X18fEEWbkxYs4YNq4Er1Qm",https://hdl.handle.net/11676.1/P4X18fEEWbkxYs4YNq4Er1Qm,2024-04-23 22:49:50 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/v8OdVPNqVRy5xiaRA0kzqYW4,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Water balance - stream discharge from Nyängesbäcken, Catchment 9, 2007-06-08–2017-11-24. Svartberget Research Station. https://hdl.handle.net/11676.1/v8OdVPNqVRy5xiaRA0kzqYW4",https://hdl.handle.net/11676.1/v8OdVPNqVRy5xiaRA0kzqYW4,2024-04-23 22:50:12 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/v1d2K5HW4TRy7TBUI8w23N7K,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Water balance - stream discharge from Övre Krycklan, Catchment 15, 2007-10-16–2018-10-31. Svartberget Research Station. https://hdl.handle.net/11676.1/v1d2K5HW4TRy7TBUI8w23N7K",https://hdl.handle.net/11676.1/v1d2K5HW4TRy7TBUI8w23N7K,2024-04-23 22:50:35 UTC
krycklan,krycklan,VERSIONLESS001,https://hdl.handle.net/11676.1/G3ezgARLiPej88zf2VKMlMB1,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","SITES. (2023). Water balance - stream discharge from Stortjärnbäcken, Catchment 5, 2013-04-18–2023-11-10. SITES. https://hdl.handle.net/11676.1/G3ezgARLiPej88zf2VKMlMB1",https://hdl.handle.net/11676.1/G3ezgARLiPej88zf2VKMlMB1,2024-04-23 22:50:57 UTC
