prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
10601,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,NA
10601,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,NA
20118,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,NA
20118,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,NA
10303,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,1978-2017_LTER_Streams_Chemistry_v6_csv
1489,precipitation,ready,ready,NA,NA,NA,1988_currentTFSDaily_csv
20120,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,2015-2019_LTER_Streams_Roche_and_Trevor_Discharge_csv
20120,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,2015-2019_LTER_Streams_Roche_and_Trevor_Discharge_csv
1593,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,1991_Toolik_Inlet_Kling_csv
1593,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,1991_Toolik_Inlet_Kling_csv
1594,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,1992_Toolik_Inlet_Kling_csv
1594,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,1992_Toolik_Inlet_Kling_csv
1595,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,1993_Toolik_Inlet_Kling_csv
1595,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,1993_Toolik_Inlet_Kling_csv
1596,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,1994_Toolik_Inlet_Kling_csv
1596,stream_chemistry,ready,ready,NA,stream_chemistry__ms002|stream_flux__ms003,NA,1994_Toolik_Inlet_Kling_csv
1597,discharge,ready,ready,NA,discharge__ms001|stream_flux__ms003,NA,1995_Toolik_Inlet_Kling_csv
