prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
7,discharge_N04D,ready,ready,NA,discharge__ms011,NA,ASD021
8,discharge_N20B,ready,ready,NA,discharge__ms011,NA,ASD041
9,discharge_N01B,ready,ready,NA,discharge__ms011,NA,ASD051
10,discharge_N02B,ready,ready,NA,discharge__ms011,NA,ASD061
50,stream_chemistry,ready,ready,NA,stream_chemistry__ms012,NA,NA
51,stream_conductivity,ready,ready,NA,stream_chemistry__ms012,NA,NA
20,stream_suspended_sediments,ready,ready,NA,stream_chemistry__ms012,NA,NA
21,stream_water_quality,ready,pending,NA,NA,NA,"ASW011,ASW012"
16,stream_temperature,ready,NA,NA,NA,NA,NA
43,precip_chemistry,ready,ready,NA,precip_pchem_pflux__ms001,NA,NA
4,precipitation,ready,ready,NA,precip_pchem_pflux__ms001,NA,NA
230,precip_gauge_locations,ready,ready,NA,precip_pchem_pflux__ms001,NA,GIS300
230,stream_gauge_locations,ready,ready,NA,NA,NA,GIS315
ms011,discharge,NA,NA,ready,stream_flux_inst_ms003,NA,NA
ms012,stream_chemistry,NA,NA,ready,stream_flux_inst_ms003,NA,NA
ms001,precip_pchem_pflux,NA,NA,ready,NA,NA,NA
ms003,stream_flux_inst,NA,NA,ready,NA,NA,NA
