"prodcode","prodname","type","retrieve_status","munge_status","derive_status","notes"
3162,"sediment_bedload","unknown","paused","pending","pending",
4019,"snow_depth","unknown","paused","pending","pending",
4020,"stream_air_temp","unknown","paused","pending","pending",
4021,"stream_chemistry","unknown","pending","pending","pending",
3222,"meteorology","unknown","paused","pending","pending",
5357,"sc_temp","unknown","paused","pending","pending",
5482,"precipitation","unknown","pending","pending","pending",
4341,"discharge","unknown","pending","pending","pending",
5453,"discharge","unknown","paused","pending","pending","technically south_umpqua, which is affiliated with hjandrews"
4022,"precip_chemistry","unknown","pending","pending","pending",
5482,"rain_gauge_locations","unknown","paused","pending","pending",
3239,"stream_gauge_locations","unknown","paused","pending","pending",
