prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes
3162,sediment_bedload,paused,pending,pending,NA,NA
4019,snow_depth,paused,pending,pending,NA,NA
4020,stream_air_temp,paused,pending,pending,NA,NA
4021,stream_chemistry,ready,ready,pending,stream_flux_inst__ms003,NA
4021,stream_flux_inst,ready,ready,pending,NA,superfluous?
3222,meteorology,paused,pending,pending,NA,NA
5357,sc_temp,paused,pending,pending,NA,NA
5482,precipitation,ready,ready,pending,precipitation__ms001||precip_chemistry__ms002||precip_flux_inst__ms004,NA
5482,precip_gauge_locations,ready,ready,pending,precipitation__ms001||precip_chemistry__ms002||precip_flux_inst__ms004,NA
4341,discharge,ready,ready,pending,stream_flux_inst__ms003,NA
5453,discharge,paused,pending,pending,NA,"technically south_umpqua, which is affiliated with hjandrews"
4022,precip_chemistry,ready,ready,pending,precip_chemistry__ms002||precip_flux_inst__ms004,superfluous?
4022,precip_flux_inst,ready,ready,pending,NA,superfluous?
3239,ws_boundary,ready,ready,pending,precipitation__ms001||precip_chemistry__ms002||precip_flux_inst__ms004,NA
3239,stream_gauge_locations,ready,ready,pending,NA,NA
ms001,precipitation,NA,NA,ready,NA,NA
ms002,precip_chemistry,NA,NA,ready,NA,NA
ms003,stream_flux_inst,NA,NA,ready,NA,NA
ms004,precip_flux_inst,NA,NA,ready,NA,NA
ms005,stream_chemistry,NA,NA,linked,NA,automated entry
ms006,stream_flux_inst,NA,NA,linked,NA,automated entry
ms007,precip_gauge_locations,NA,NA,linked,NA,automated entry
ms008,discharge,NA,NA,linked,NA,automated entry
ms009,precip_flux_inst,NA,NA,linked,NA,automated entry
ms010,ws_boundary,NA,NA,linked,NA,automated entry
ms011,stream_gauge_locations,NA,NA,linked,NA,automated entry
