prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes
9030,discharge,ready,ready,NA,discharge__ms001,NA
9002,discharge,ready,ready,NA,discharge__ms001,NA
9002,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9003,discharge,ready,ready,NA,discharge__ms001,NA
9003,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9007,discharge,ready,ready,NA,discharge__ms001,NA
9007,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9009,discharge,ready,ready,NA,discharge__ms001,NA
9009,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9010,discharge,ready,ready,NA,discharge__ms001,NA
9010,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9011,discharge,ready,ready,NA,discharge__ms001,NA
9011,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9013,discharge,ready,ready,NA,discharge__ms001,NA
9013,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9014,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9015,discharge,ready,ready,NA,discharge__ms001,NA
9015,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9018,discharge,ready,ready,NA,discharge__ms001,NA
9018,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9022,discharge,ready,ready,NA,discharge__ms001,NA
9022,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9021,discharge,ready,ready,NA,discharge__ms001,NA
9021,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9027,discharge,ready,ready,NA,discharge__ms001,NA
9027,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9016,discharge,ready,ready,NA,discharge__ms001,NA
9016,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9029,discharge,ready,ready,NA,discharge__ms001,NA
9029,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9024,discharge,ready,ready,NA,discharge__ms001,NA
9024,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9023,discharge,ready,ready,NA,discharge__ms001,NA
9023,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
9017,discharge,ready,ready,NA,discharge__ms001,NA
9017,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
24,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
20,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
21,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
ms004,stream_gauge_locations,NA,NA,ready,NA,NA
ms001,discharge,NA,NA,ready,stream_flux_inst__ms003,NA
ms002,stream_chemistry,NA,NA,ready,stream_flux_inst__ms003,NA
ms003,stream_flux_inst,NA,NA,ready,NA,NA
ms000,ws_boundary,NA,NA,NA,,automated entry
