prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes
213,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
103,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
107,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
108,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
109,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
110,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
112,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
113,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
114,stream_chemistry,paused,paused,paused,stream_chemistry__ms002,NA
9,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
160,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
162,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
163,stream_chemistry,ready,ready,NA,stream_chemistry__ms002,NA
102,discharge,ready,ready,NA,discharge__ms001,NA
111,discharge,ready,ready,NA,discharge__ms001,NA
74,discharge,ready,ready,NA,discharge__ms001,NA
105,discharge,ready,ready,NA,discharge__ms001,NA
416,precipitation,ready,ready,NA,precipitation__ms003,NA
414,precipitation,ready,ready,NA,precipitation__ms003,NA
415,precipitation,ready,ready,NA,precipitation__ms003,NA
ms003,precipitation,NA,NA,ready,precip_pchem_pflux_ms007,NA
ms001,discharge,NA,NA,ready,stream_flux_inst__ms005,NA
ms002,stream_chemistry,NA,NA,ready,stream_flux_inst__ms005,NA
ms004,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux_ms007,NA
ms006,stream_gauge_locations,NA,NA,ready,NA,NA
ms007,precip_pchem_pflux,NA,NA,ready,NA,NA
ms005,stream_flux_inst,NA,NA,ready,NA,NA
ms000,ws_boundary,NA,NA,NA,precipitation__ms003,automated entry
