parameter_cd,parameter_group_nm,parameter_nm,casrn,srsname,parameter_units
00010,Physical,"Temperature, water, degrees Celsius", ,"Temperature, water",deg C
00020,Physical,"Temperature, air, degrees Celsius", ,"Temperature, air, deg C",deg C
00028,Information,"Agency analyzing sample, code", , ,code
00060,Physical,"Discharge, cubic feet per second", ,"Stream flow, mean. daily",ft3/s
00061,Physical,"Discharge, instantaneous, cubic feet per second", ,"Stream flow, instantaneous",ft3/s
00065,Physical,"Gage height, feet", ,"Height, gage",ft
00080,Physical,"Color, water, filtered, platinum cobalt units", ,Color,PCU
00095,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius", ,Specific conductance,uS/cm @25C
00191,"Inorganics, Major, Non-metals","Hydrogen ion, water, unfiltered, calculated, milligrams per liter",12408-02-5,Hydrogen ion,mg/l
00300,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",7782-44-7,Oxygen,mg/l
00400,Physical,"pH, water, unfiltered, field, standard units", ,pH,std units
00403,Physical,"pH, water, unfiltered, laboratory, standard units", ,"pH, lab",std units
00405,"Inorganics, Major, Non-metals","Carbon dioxide, water, unfiltered, milligrams per liter",124-38-9,Carbon dioxide,mg/l
00408,Physical,"pH, water, filtered, laboratory, standard units", , ,std units
00409,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter", ,Alkalinity,ueq/L
00413,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate", ,Alkalinity,mg/l CaCO3
00435,"Inorganics, Major, Non-metals","Acidity, water, unfiltered, milligrams per liter as calcium carbonate", ,Acidity,mg/l CaCO3
00600,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter", ,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l
00602,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter", ,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l
00608,Nutrient,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen", ,Ammonia and ammonium,mg/l as N
00610,Nutrient,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen", ,Ammonia and ammonium,mg/l as N
00613,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrogen",14797-65-0,Nitrite,mg/l as N
00615,Nutrient,"Nitrite, water, unfiltered, milligrams per liter as nitrogen",14797-65-0,Nitrite,mg/l as N
00618,Nutrient,"Nitrate, water, filtered, milligrams per liter as nitrogen",14797-55-8,Nitrate,mg/l as N
00620,Nutrient,"Nitrate, water, unfiltered, milligrams per liter as nitrogen",14797-55-8,Nitrate,mg/l as N
00630,Nutrient,"Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen", ,Inorganic nitrogen (nitrate and nitrite),mg/l as N
00631,Nutrient,"Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen", ,Inorganic nitrogen (nitrate and nitrite),mg/l as N
00650,Nutrient,"Phosphate, water, unfiltered, milligrams per liter as PO4", ,Phosphate-phosphorus,mg/l
00660,Nutrient,"Orthophosphate, water, filtered, milligrams per liter as PO4",14265-44-2,Phosphate,mg/l asPO4
00665,Nutrient,"Phosphorus, water, unfiltered, milligrams per liter as phosphorus",7723-14-0,Phosphorus,mg/l as P
00671,Nutrient,"Orthophosphate, water, filtered, milligrams per liter as phosphorus",14265-44-2,Phosphate,mg/l as P
00681,"Organics, Other","Organic carbon, water, filtered, milligrams per liter", ,Organic carbon,mg/l
00694,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], suspended sediment, total, milligrams per liter",7440-44-0,Total Carbon,mg/l
00900,Physical,"Hardness, water, milligrams per liter as calcium carbonate", ,Total hardness -- SDWA NPDWR,mg/l CaCO3
00905,Physical,"Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate", ,"Hardness, non-carbonate",mg/l CaCO3
00915,"Inorganics, Major, Metals","Calcium, water, filtered, milligrams per liter",7440-70-2,Calcium,mg/l
00925,"Inorganics, Major, Metals","Magnesium, water, filtered, milligrams per liter",7439-95-4,Magnesium,mg/l
00930,"Inorganics, Major, Metals","Sodium, water, filtered, milligrams per liter",7440-23-5,Sodium,mg/l
00931,"Inorganics, Major, Metals","Sodium adsorption ratio (SAR), water, number", ,Sodium adsorption ratio,None
00932,"Inorganics, Major, Metals","Sodium fraction of cations, water, percent in equivalents of major cations", ,"Sodium, percent total cations",%
00935,"Inorganics, Major, Metals","Potassium, water, filtered, milligrams per liter",7440-09-7,Potassium,mg/l
